LandProvince;SeaZone;x;y
lavinium;mare_tyrrhenum_0;1704.58;2337.799
circeii;mare_tyrrhenum_1;1735.213;2319.156
fundi;mare_tyrrhenum_1;1761.457;2313.18
capua;mare_tyrrhenum_1;1798.346;2300.459
neapolis;sinus_paestanus;1823.694;2271.843
pompeii;sinus_paestanus;1840.5;2265.5
salerna;sinus_paestanus;1874.391;2247.169
paestum;sinus_paestanus;1878.365;2239.689
velia;mare_tyrrhenum_2;1918.0;2211.0
blanda;mare_tyrrhenum_2;1934.702;2196.884
pyrgi;mare_tyrrhenum_0;1665.118;2375.97
ostia;mare_tyrrhenum_0;1685.0;2361.0
tarquini;mare_tyrrhenum_5;1645.167;2399.463
volci;mare_tyrrhenum_5;1633.0;2408.0
histonium;mare_superum_4;1845.427;2399.946
buca;mare_superum_4;1870.0;2383.0
teanum_apulum;mare_superum_4;1906.524;2377.578
sipontum;sinus_sipontinus;1936.0;2345.0
canusium;sinus_sipontinus;1950.44;2333.668
urium;sinus_sipontinus;1945.156;2358.228
laus;mare_tyrrhenum_2;1937.708;2183.929
thurii;sinus_tarentinus;1988.0;2192.0
heraclea;sinus_tarentinus;2003.5;2235.0
metapontum;sinus_tarentinus;2012.251;2251.25
tarentum;sinus_tarentinus;2033.0;2248.0
brundisium;mare_superum_6;2083.566;2274.724
barduli;sinus_sipontinus;1967.634;2326.819
siris;sinus_tarentinus;1995.656;2219.15
menturia;sinus_tarentinus;2069.745;2240.557
callipolis;mare_ionium_2;2097.647;2205.544
hydruntum;mare_ionium_2;2117.5;2215.0
lupiae;fretum_hydruntis;2109.673;2252.347
barium;mare_superum_5;2016.224;2309.651
gnatia;mare_superum_5;2040.282;2294.222
natiolum;mare_superum_5;1989.294;2318.15
rhegium;fretum_siculum_0;1944.5;2021.8
locri_0;mare_ionium_3;1977.0;2042.0
stylacium;mare_ionium_0;2003.646;2077.454
hipponium;mare_tyrrhenum_2;1959.877;2094.36
temesa;mare_tyrrhenum_2;1972.074;2110.613
consentia;mare_tyrrhenum_2;1951.404;2160.357
croton;mare_ionium_1;2039.0;2129.0
petelia;mare_ionium_1;2015.367;2172.46
messana;fretum_siculum_0;1930.451;2035.584
tauromenium;fretum_siculum_0;1923.249;2023.231
catana;mare_ionium_4;1906.195;1976.612
syracusae;mare_ionium_4;1910.933;1922.281
gela;fretum_melitense_1;1849.479;1936.193
acragas;fretum_melitense_1;1815.495;1944.004
heraclea_minoa;fretum_siculum_2;1768.557;1972.648
selinus;fretum_siculum_2;1747.225;1981.158
lilybaeum;fretum_siculum_1;1715.959;1997.164
eryx;mare_tyrrhenum_4;1744.594;2025.455
