culture_group_tag	culture_group	culture_tag	culture	language	language_family
ir_aksumite_group_g	Aksumite	ir_puntic	Macrobian	ir_puntic_lang	ir_aksumite_family
ir_aksumite_group_g	Aksumite	ir_aksumite	Aksumite	ir_geez_lang	ir_aksumite_family
ir_aksumite_group_g	Aksumite	ir_blemmyan	Blemmyan	ir_blemmye_lang	ir_aksumite_family
ir_aksumite_group_g	Aksumite	ir_blemmye	Blemmye	ir_blemmye_lang	ir_aksumite_family
ir_aksumite_group_g	Aksumite	ir_daamoti	Daamotic	ir_geez_lang	ir_aksumite_family
ir_aksumite_group_g	Aksumite	ir_ona	Onaean	ir_geez_lang	ir_aksumite_family
ir_aksumite_group_g	Aksumite	ir_athagaun	Athagauan	ir_geez_lang	ir_aksumite_family
ir_aksumite_group_g	Aksumite	ir_avalitian	Avalitian	ir_puntic_lang	ir_aksumite_family
ir_aksumite_group_g	Aksumite	ir_berberian	Berberian	ir_gaetulian_lang	ir_aksumite_family
ir_aksumite_group_g	Aksumite	ir_erythraean	Erythraean	ir_puntic_lang	ir_aksumite_family
ir_anatolian_g	Anatolian	ir_cappadocian	Cappadocian	ir_cappadocian_lang	ir_anatolian_family
ir_anatolian_g	Anatolian	ir_phrygian	Phrygian	ir_phrygian_lang	ir_anatolian_family
ir_anatolian_g	Anatolian	ir_lycaonian	Lycaonian	ir_cappadocian_lang	ir_anatolian_family
ir_anatolian_g	Anatolian	ir_isaurian	Isaurian	ir_isaurian_lang	ir_anatolian_family
ir_anatolian_g	Anatolian	ir_paphlagonian	Paphlagonian	ir_paphlagonian_lang	ir_anatolian_family
ir_anatolian_g	Anatolian	ir_lycian	Lycian	ir_lycian_lang	ir_anatolian_family
ir_anatolian_g	Anatolian	ir_mysian	Mysian	ir_mysian_lang	ir_anatolian_family
ir_anatolian_g	Anatolian	ir_cilician	Cilician	ir_cilician_lang	ir_anatolian_family
ir_anatolian_g	Anatolian	ir_lydian	Lydian	ir_lydian_lang	ir_anatolian_family
ir_anatolian_g	Anatolian	ir_armenian	Armenian	ir_armenian_lang	ir_anatolian_family
ir_anatolian_g	Anatolian	ir_pisidian	Pisidian	ir_pisidian_lang	ir_anatolian_family
ir_anatolian_g	Anatolian	ir_milyadian	Milyadian	ir_cabalian_lang	ir_anatolian_family
ir_anatolian_g	Anatolian	ir_cataonian	Cataonian	ir_cappadocian_lang	ir_anatolian_family
ir_anatolian_g	Anatolian	ir_lalasian	Cetian	ir_cabalian_lang	ir_anatolian_family
ir_anatolian_g	Anatolian	ir_cabalian	Cabalian	ir_cabalian_lang	ir_anatolian_family
ir_anatolian_g	Anatolian	ir_oroandian	Oroandian	ir_cabalian_lang	ir_anatolian_family
ir_anatolian_g	Anatolian	ir_morimenian	Morimenian	ir_cabalian_lang	ir_anatolian_family
ir_anatolian_g	Anatolian	ir_kennataian	Amanian	ir_cabalian_lang	ir_anatolian_family
ir_aryan_g	Aryan	ir_vidharban	Vidharban	ir_prakrit_lang	ir_aryan_family
ir_aryan_g	Aryan	ir_mulaka	Mulakan	ir_prakrit_lang	ir_aryan_family
ir_aryan_g	Aryan	ir_saurashtran	Saurashtran	ir_sindhi_lang	ir_aryan_family
ir_aryan_g	Aryan	ir_kaccha	Kacchan	ir_sindhi_lang	ir_aryan_family
ir_aryan_g	Aryan	ir_lankan	Lankan	ir_prakrit_lang	ir_aryan_family
ir_aryan_g	Aryan	ir_maharashtran	Maharashtran	ir_prakrit_lang	ir_aryan_family
ir_aryan_g	Aryan	ir_rathikan	Rathikan	ir_sindhi_lang	ir_aryan_family
ir_aryan_g	Aryan	ir_gandhari	Gandhari	ir_gandhari_lang	ir_aryan_family
ir_aryan_g	Aryan	ir_sivi	Mallian	ir_sanskrit_lang	ir_aryan_family
ir_aryan_g	Aryan	ir_shauraseni	Shauraseni	ir_prakrit_lang	ir_aryan_family
ir_aryan_g	Aryan	ir_kosala	Kosalan	ir_sanskrit_lang	ir_aryan_family
ir_aryan_g	Aryan	ir_kuru	Kuruic	ir_sanskrit_lang	ir_aryan_family
ir_aryan_g	Aryan	ir_avanti	Avanti	ir_sanskrit_lang	ir_aryan_family
ir_aryan_g	Aryan	ir_matsya	Matsyan	ir_sanskrit_lang	ir_aryan_family
ir_aryan_g	Aryan	ir_cedi	Cedi	ir_sanskrit_lang	ir_aryan_family
ir_aryan_g	Aryan	ir_dhivehi	Dhivehi	ir_sindhi_lang	ir_aryan_family
ir_aryan_g	Aryan	ir_sindhi	Sindhi	ir_sindhi_lang	ir_aryan_family
ir_aryan_g	Aryan	ir_dardic	Dardic	ir_gandhari_lang	ir_aryan_family
ir_aryan_g	Aryan	ir_purus	Puruan	ir_sanskrit_lang	ir_aryan_family
ir_aryan_g	Aryan	ir_mitanni	Neo-Mitanni	ir_sanskrit_lang	ir_aryan_family
ir_bactrian_g	Bactrian	ir_bactrian	Bactrian	ir_bactrian_lang	ir_bactrian_family
ir_bactrian_g	Bactrian	ir_margian	Margian	ir_sogdian_lang	ir_bactrian_family
ir_bactrian_g	Bactrian	ir_sogdian	Sogdian	ir_sogdian_lang	ir_bactrian_family
ir_bactrian_g	Bactrian	ir_shule	Shule	ir_tocharian_lang	ir_bactrian_family
ir_bactrian_g	Bactrian	ir_phryni	Phryni	ir_bactrian_lang	ir_bactrian_family
ir_bactrian_g	Bactrian	ir_tayuan	Ferghani	ir_tocharian_lang	ir_bactrian_family
ir_bactrian_g	Bactrian	ir_wusun	Wusun	ir_wusun_lang	ir_bactrian_family
ir_bactrian_g	Bactrian	ir_saka	Khotanese	ir_saka_lang	ir_bactrian_family
ir_bactrian_g	Bactrian	ir_yuezhi	Yuezhi	ir_yuezhi_lang	ir_bactrian_family
ir_bactrian_g	Bactrian	ir_tocharian	Tocharian	ir_tocharian_lang	ir_bactrian_family
ir_baltic_g	Balto-Slavic	ir_aestian	Aestian	ir_aestian_lang	ir_baltic_family
ir_baltic_g	Balto-Slavic	ir_sporic	Sporic	ir_neuric_lang	ir_baltic_family
ir_baltic_g	Balto-Slavic	ir_neuric	Neuric	ir_neuric_lang	ir_baltic_family
ir_baltic_g	Balto-Slavic	ir_budinian	Budinian	ir_neuric_lang	ir_baltic_family
ir_baltic_g	Balto-Slavic	ir_chernolian	Borysthenian	ir_neuric_lang	ir_baltic_family
ir_baltic_g	Balto-Slavic	ir_melanchlaenian	Melanchlaenian	ir_neuric_lang	ir_baltic_family
ir_belgae_group_g	Belgic	ir_belgae	Menapian	ir_belgic_north_dialect	ir_belgae_family
ir_belgae_group_g	Belgic	ir_aduatacian	Aduatacian	ir_belgic_north_dialect	ir_belgae_family
ir_belgae_group_g	Belgic	ir_eburonian	Eburonian	ir_belgic_north_dialect	ir_belgae_family
ir_belgae_group_g	Belgic	ir_nervian	Nervian	ir_belgic_north_dialect	ir_belgae_family
ir_belgae_group_g	Belgic	ir_morinian	Morinian	ir_belgic_coastal_dialect	ir_belgae_family
ir_belgae_group_g	Belgic	ir_veliocassian	Veliocassian	ir_belgic_coastal_dialect	ir_belgae_family
ir_belgae_group_g	Belgic	ir_bellovacian	Bellovacian	ir_belgic_coastal_dialect	ir_belgae_family
ir_britannic_g	Insular Celtic	ir_britannic	Insular Celtic	ir_south_brittonic_dialect	ir_britannic_family
ir_britannic_g	Insular Celtic	ir_caledonian	Caledonian	ir_pictish_dialect	ir_britannic_family
ir_britannic_g	Insular Celtic	ir_iceni	Icenian	ir_south_brittonic_dialect	ir_britannic_family
ir_britannic_g	Insular Celtic	ir_trinovantian	Trinovantian	ir_south_brittonic_dialect	ir_britannic_family
ir_britannic_g	Insular Celtic	ir_cantian	Cantian	ir_south_brittonic_dialect	ir_britannic_family
ir_britannic_g	Insular Celtic	ir_durotrigan	Durotrigan	ir_south_brittonic_dialect	ir_britannic_family
ir_britannic_g	Insular Celtic	ir_dumnonian	Dumnonian	ir_south_brittonic_dialect	ir_britannic_family
ir_britannic_g	Insular Celtic	ir_dobunnian	Dobunnian	ir_south_brittonic_dialect	ir_britannic_family
ir_britannic_g	Insular Celtic	ir_demetian	Demetian	ir_south_brittonic_dialect	ir_britannic_family
ir_britannic_g	Insular Celtic	ir_ordovitian	Ordovitian	ir_south_brittonic_dialect	ir_britannic_family
ir_britannic_g	Insular Celtic	ir_coritani	Coritanic	ir_south_brittonic_dialect	ir_britannic_family
ir_britannic_g	Insular Celtic	ir_cornovian	Cornovian	ir_south_brittonic_dialect	ir_britannic_family
ir_britannic_g	Insular Celtic	ir_brigantic	Brigantic	ir_cumbric_dialect	ir_britannic_family
ir_britannic_g	Insular Celtic	ir_votadinian	Votadinian	ir_cumbric_dialect	ir_britannic_family
ir_britannic_g	Insular Celtic	ir_damnonian	Damnonian	ir_south_brittonic_dialect	ir_britannic_family
ir_britannic_g	Insular Celtic	ir_taexalian	Taexalian	ir_pictish_dialect	ir_britannic_family
ir_britannic_g	Insular Celtic	ir_parisian	Parisian	ir_cumbric_dialect	ir_britannic_family
ir_britannic_g	Insular Celtic	ir_monapian	Monapian	ir_pictish_dialect	ir_britannic_family
ir_britannic_g	Insular Celtic	ir_ivernian	Ivernian	ir_goidelic_lang	ir_britannic_family
ir_britannic_g	Insular Celtic	ir_voluntian	Voluntian	ir_goidelic_lang	ir_britannic_family
ir_caucasian_g	Caucasian	ir_albanian	Albanian	ir_albanian_caucasian_lang	ir_caucasian_family
ir_caucasian_g	Caucasian	ir_caspian	Caspian	ir_albanian_caucasian_lang	ir_caucasian_family
ir_caucasian_g	Caucasian	ir_ibero	Iberic	ir_kartvelian_lang	ir_caucasian_family
ir_caucasian_g	Caucasian	ir_sindi	Sindian	ir_north_caucasian_lang	ir_caucasian_family
ir_caucasian_g	Caucasian	ir_maeotian	Maeotian	ir_north_caucasian_lang	ir_caucasian_family
ir_caucasian_g	Caucasian	ir_colchian	Colchian	ir_kartvelian_lang	ir_caucasian_family
ir_caucasian_g	Caucasian	ir_abasgoi	Abasgian	ir_north_caucasian_lang	ir_caucasian_family
ir_caucasian_g	Caucasian	ir_suani	Suanian	ir_kartvelian_lang	ir_caucasian_family
ir_caucasian_g	Caucasian	ir_lazi	Laz	ir_kartvelian_lang	ir_caucasian_family
ir_caucasian_g	Caucasian	ir_sasperian	Sasperian	ir_north_caucasian_lang	ir_caucasian_family
ir_caucasian_g	Caucasian	ir_legian	Legian	ir_albanian_caucasian_lang	ir_caucasian_family
ir_caucasian_g	Caucasian	ir_gelaean	Gelaean	ir_north_caucasian_lang	ir_caucasian_family
ir_celt_iberia_g	Celtiberian	ir_caristian	Caristian	ir_gallaecian_lang	ir_celt_iberia_family
ir_celt_iberia_g	Celtiberian	ir_celtician	Celtician	ir_celtiberian_lang	ir_celt_iberia_family
ir_celt_iberia_g	Celtiberian	ir_lusitanian	Lusitanian	ir_lusitanian_lang	ir_celt_iberia_family
