# holy_site_key	type
omen_abhinandananatha	shrine
omen_abraham	shrine
omen_adgilis_deda	shrine
omen_aecorna	shrine
omen_aesernia	shrine
omen_agathyrus	shrine
omen_agdistis	shrine
omen_ahura_mazda	fire_temple
omen_ailiah	shrine
omen_ajjuna	temple
omen_al_kutbay	shrine
omen_al_qaum	temple
omen_al_uzza	shrine
omen_alcis	shrine
omen_alexander	city
omen_alilat	temple
omen_almaqah	temple
omen_altinos	temple
omen_amel_ali	temple
omen_amesemi	temple
omen_amirani	temple
omen_amm	temple
omen_ammon	temple
omen_amun	temple
omen_amurru	shrine
omen_anahit	shrine
omen_anahita	temple
omen_anaitis	temple
omen_andinus	shrine
omen_angra_mainyu	shrine
omen_anguipedia	shrine
omen_anhur	shrine
omen_antaeus	temple
omen_anterstatai	temple
omen_anti	temple
omen_anubis	shrine
omen_anuket	shrine
omen_anzar	shrine
omen_apedmak	temple
omen_aphrodite	temple
omen_aphrodite_areia	temple
omen_aphrodite_euploia	temple
omen_aphrodite_hoplimense	temple
omen_api	shrine
omen_apollo	temple
omen_apollo_didymaios	temple
omen_apsyrtus	shrine
omen_apulu	temple
omen_arensuphis	temple
omen_arethousa	temple
omen_argimpasa	shrine
omen_arhan	mountain
omen_ariadne	temple
omen_ariantes	shrine
omen_armazi	temple
omen_artemis	temple
omen_asclepius	temple
omen_asha	fire_temple
omen_asherah	shrine
omen_ashima	temple
omen_ashshur	temple
omen_astarte	temple
omen_astlik	shrine
omen_ataecina	shrine
omen_atar	fire_temple
omen_atargatis	temple
omen_athena	temple
omen_ati_muwer	mountain
omen_attis	temple
omen_ayaanle	temple
omen_baal	temple
omen_baal_hammon	shrine
omen_baalat	temple
omen_babai	shrine
omen_bacax	shrine
omen_baduhenna	shrine
omen_bamyan	mountain
omen_banebdjedet	temple
omen_barbale	mountain
omen_bardos	shrine
omen_barshamin	temple
omen_bastet	shrine
omen_bau	temple
omen_bendis	shrine
omen_berecyntia	temple
omen_berobreo	shrine
omen_bethel	shrine
omen_bhadrabahu	temple
omen_bharaddai	shrine
omen_bhrigu	temple
omen_biriir_ina_barqo	temple
omen_bodh	temple
omen_boseli	mountain
omen_brahma	shrine
omen_brigantia	shrine
omen_buk	shrine
omen_caleb_joshua	shrine
omen_cataonian_apollo	shrine
omen_chemosh	shrine
omen_chuu	shrine
omen_colwic_abany	shrine
omen_cybele	shrine
omen_cyre	temple
omen_dali	mountain
omen_daniel	temple
omen_deborah	temple
omen_demeter	shrine
omen_deng	temple
omen_dercetius	shrine
omen_derzelas	temple
omen_diana	temple
omen_diana_nemorensis	temple
omen_diktean_zeus	temple
omen_dionysus	temple
omen_dioscuri	temple
omen_dracondracaena	shrine
omen_dualos	temple
omen_duillae	mountain
omen_dumuzid	temple
omen_durdzuks	mountain
omen_ea	shrine
omen_eacus	shrine
omen_eate	shrine
omen_el	shrine
omen_elijah	temple
omen_endouellicus	shrine
omen_enejjaga	temple
omen_enlil	temple
omen_ereshkigal	temple
omen_eshmun	temple
omen_eshmun_melqart	temple
omen_esther	temple
omen_ezekiel	shrine
omen_ezra	shrine
omen_fladukia	temple
omen_frijjo	shrine
omen_fufluns	shrine
omen_ga	mountain
omen_gacim	shrine
omen_gal	mountain
omen_garang	shrine
omen_ge	temple
omen_gekho	temple
omen_gelonus	temple
omen_ghmerti	shrine
omen_glanis	shrine
omen_goitosyrus	shrine
omen_gordys	temple
omen_gurzil	shrine
omen_hadad	temple
omen_hathor	temple
omen_heka	temple
omen_hekate	shrine
omen_helios	temple
omen_hephaestus	temple
omen_heqet	shrine
omen_hera	temple
omen_hera_kandarene	shrine
omen_heracles	temple
omen_hercle	temple
omen_heryshaf	shrine
omen_hestia	temple
omen_histria	shrine
omen_hludana	shrine
omen_horus	shrine
omen_iakhsari	mountain
omen_ica	shrine
omen_idaea	shrine
omen_ifri	shrine
omen_indra	city
omen_irmin	shrine
omen_irrawaddy	temple
omen_ishara	temple
omen_ishtar	temple
omen_isis	temple
omen_istaran	shrine
omen_joseph	shrine
omen_joshua	temple
omen_jupiter	temple
omen_juppiter_menzanas	temple
omen_kakasbos	temple
omen_kanya_devi	shrine
omen_karmanor	shrine
omen_kartikeya	temple
omen_kaum	shrine
omen_kem	shrine
omen_khaldi	temple
omen_khonsu	shrine
omen_kisa_sankicca	temple
omen_kommagene	temple
omen_kopala	mountain
omen_kowth_nhial	temple
omen_krishna	temple
omen_kroon	shrine
omen_kubaba	temple
omen_kubera	temple
omen_kujii	shrine
omen_kusinagara	temple
omen_lahona	temple
omen_lamia	shrine
omen_latra	shrine
omen_lekos	shrine
omen_leukothea	temple
omen_lha_mo	temple
omen_lobegi	shrine
omen_lugus	shrine
omen_lurraberri	shrine
omen_ma	temple
omen_ma_aniketos	temple
omen_mahagiri	mountain
omen_mahavir_jayanti	temple
omen_maher	temple
omen_makkhali_gosala	shrine
omen_mallarama	temple
omen_manat	shrine
omen_mandulis	temple
omen_maphitis	shrine
omen_marduk	temple
omen_mari	shrine
omen_mastinam	temple
omen_mater_matuta	temple
omen_medaurus	shrine
omen_melqart	temple
omen_men	shrine
omen_menrva	temple
omen_menya	temple
omen_mihr	fire_temple
omen_min	shrine
omen_miriam	shrine
omen_mithra	fire_temple
omen_moneiba	shrine
omen_moses	shrine
omen_movakanos	shrine
omen_murugan	temple
omen_mut	temple
omen_nabia	shrine
omen_nabu	temple
omen_nana	shrine
omen_nanaya	shrine
omen_nanda_vaccha	shrine
omen_nane	shrine
omen_nanna_tala	shrine
omen_nanshe	temple
omen_nehalennia	shrine
omen_neith	temple
omen_neminatha	temple
omen_nergal	temple
omen_nerthus	shrine
omen_nicaea	temple
omen_nidar	temple
omen_ninazu	shrine
omen_ninurta	temple
omen_noah	shrine
omen_norax	temple
omen_nusku	shrine
omen_ogmios	mountain
omen_orgia	shrine
omen_orotalt	shrine
omen_osiris	shrine
omen_padmaprabha	shrine
omen_papaios	shrine
omen_parshvanatha	shrine
omen_persephone	temple
omen_phasia	temple
omen_phrixus	shrine
omen_pkharmat	mountain
omen_poseidon	temple
omen_ptah	temple
omen_purana	shrine
omen_qetesh	shrine
omen_ra	temple
omen_rama	temple
omen_ramset	temple
omen_rasap_melqart	temple
omen_redon	shrine
omen_reitia	temple
omen_rishabhanatha	shrine
omen_rishabhanatha_moksha	mountain
omen_rosmerta	shrine
omen_rudra	temple
omen_sabazios	shrine
omen_samba	temple
omen_sambhavanatha	temple
omen_samson	temple
omen_samuel	temple
omen_sangarios	temple
omen_sangpo_bumtri	mountain
omen_saraswati	temple
omen_sardus_can	mountain
omen_satanaya	shrine
omen_satya	shrine
omen_sayin	temple
omen_scythes	temple
omen_sebiumeker	temple
omen_sekhmet	temple
omen_semnocosus	shrine
omen_shahar	shrine
omen_shaheded	mountain
omen_shamash	temple
omen_shams	temple
omen_shavkhani	mountain
omen_shenlha_okar	mountain
omen_shiva	temple
omen_shoithrapati	shrine
omen_shwemhtwehla	shrine
omen_shwemyethna	shrine
omen_sidpa_gyalmo	mountain
omen_sigiriya	mountain
omen_sila_parami	shrine
omen_sin	shrine
omen_sinifere	shrine
omen_sipylene	shrine
omen_sobek	temple
omen_soma	temple
omen_sorginak	shrine
omen_sucellus	temple
omen_sumhu	shrine
omen_swanco	shrine
