location	country	country_size	rank	region	region_modifier	target_value	raw_score	special_treatment	capital_override
abasenia	AVL	6	town	punt_region	5	3.000	24.167	no	0
abasgria	SCE	22	rural_settlement	taurica_region	5	-3.000	15.816	no	0
abliata	BOR	19	town	nubia_region	5	-1.000	23.030	no	0
acholla	ACO	2	city	africa_region	20	8.000	27.896	no	0
acragas	ACR	1	city	magna_graecia_region	28	11.000	28.655	no	0
acumincum	TOI	9	rural_settlement	pannonia_region	5	-8.000	8.998	no	0
ad_aras	CNT	11	rural_settlement	contestania_region	15	-3.000	14.226	no	0
ad_drinum	DND	6	rural_settlement	moesia_s_region	5	-8.000	10.836	no	0
ad_duos_pontes	GRV	2	rural_settlement	gallaecia_region	10	-3.000	11.126	no	0
ad_fines_germaniae	LTG	16	rural_settlement	germania_superior_region	7	-3.000	15.853	no	0
ad_picarias	CVI	3	rural_settlement	moesia_s_region	5	-3.000	13.034	no	0
ad_statuam	ANA	7	rural_settlement	dacia_region	5	-3.000	14.185	no	0
ad_vicessimum	AIA	8	rural_settlement	pannonia_region	5	-3.000	15.594	no	0
adouli	ADO	2	town	punt_region	5	6.000	25.350	no	0
agdz	PRO	11	rural_settlement	atlas_region	0	-3.000	14.046	no	0
agedincum_0	SNN	10	rural_settlement	central_gaul_region	10	-3.000	17.529	no	0
aginnum	NTB	9	rural_settlement	aquitaine_region	10	-3.000	17.362	no	0
aguntum	LAI	1	rural_settlement	rhaetia_region	7	-3.000	13.779	no	0
ahur	PRN	26	rural_settlement	parthia_region	18	-3.000	20.719	no	0
aigina	AGN	1	city	greece_region	30	-1.000	20.762	no	0
aigion	ACL	3	rural_settlement	greece_region	30	-3.000	19.736	no	0
ainona	LBN	7	rural_settlement	illyria_region	9	-3.000	17.654	no	0
akordat	ATG	4	rural_settlement	punt_region	5	-3.000	12.974	no	0
akroterion	BTU	3	rural_settlement	aquitaine_region	10	-3.000	12.544	no	0
aksum	AXM	7	town	punt_region	5	-1.000	21.581	no	0
alalaiou	DAL	1	rural_settlement	punt_region	5	-3.000	14.271	no	0
alba_helviorum	HVI	5	rural_settlement	transalpine_gaul_region	13	-3.000	17.261	no	0
albom_ingaunom	IGN	2	rural_settlement	cisalpine_gaul_region	15	-3.000	20.396	no	0
album_intimilium	INM	2	rural_settlement	cisalpine_gaul_region	15	-3.000	17.168	no	0
alesia	MDB	5	town	central_gaul_region	10	-3.000	19.111	no	0
alesia_germanica	BAT	1	rural_settlement	germania_region	0	-3.000	10.866	no	0
alexandreia_eschate	TAY	17	city	sogdiana_region	0	7.000	29.968	no	0
alexandria	EGY	192	city	lower_egypt_region	25	15.000	42.154	yes	10
alexandria_ad_caucasum	PRM	18	city	bactriana_region	15	4.000	28.717	no	0
alexandropolis	ARS	45	city	ariana_region	10	-2.000	26.161	yes	3
