location	country	country_size	rank	region	region_modifier	target_value	raw_score	special_treatment	capital_override
pataliputra	MRY	314	city	pracya_region	30	18.000	45.576	yes	10
alexandria	EGY	192	city	lower_egypt_region	25	15.000	42.154	yes	10
carthago	CAR	100	city	africa_region	20	14.000	38.887	yes	8
seleucia_magna	SEL	273	city	mesopotamia_region	25	13.000	38.414	yes	7
pella_0	MAC	50	city	macedonia_region	25	14.000	37.959	yes	7
antigoneia	PRY	204	city	syria_region	25	9.000	35.981	yes	7
bactra	BAC	90	city	bactriana_region	15	9.000	34.010	yes	5
kyrene	CYR	33	town	cyrenaica_region	13	10.000	32.010	yes	5
persepolis	PES	37	city	persis_region	16	6.000	30.637	yes	5
meschistha_harmozike	IBR	41	town	colchis_region	12	6.000	29.902	yes	5
visentium	ETR	32	town	central_italy_region	28	6.000	29.674	yes	5
cirta	MSY	42	town	numidia_region	12	5.000	29.373	yes	5
armaouira	ARM	95	city	armenia_region	10	1.000	29.079	yes	5
petra	NBT	34	town	palestine_region	20	5.000	28.629	yes	5
zadrakarta	PAR	35	town	parthia_region	18	3.000	27.401	yes	5
gazaka	MAP	66	town	media_region	20	1.000	26.969	yes	4
meroe	KSH	83	town	nubia_region	5	-1.000	26.171	yes	4
alexandropolis	ARS	45	city	ariana_region	10	-2.000	26.161	yes	3
borysthenia	SCY	47	town	taurica_region	5	-1.000	25.417	yes	3
pergamon	MIT	36	town	asia_region	25	0.000	25.380	yes	3
mazaka	CAP	43	town	cappadocia_region	15	-1.000	25.205	yes	2
khyunglung	ZHZ	40	town	himalayan_region	5	-1.000	24.268	yes	2
ani_1	AR2	34	town	cappadocia_pontica_region	10	-1.000	24.228	yes	2
siga	MSS	47	town	mauretainia_region	5	-5.000	21.720	yes	2
kaynbulak	SA0	58	rural_settlement	central_asian_steppes_region	0	-3.000	21.489	yes	2
hygreis	IAZ	43	rural_settlement	taurica_region	5	-3.000	21.185	yes	1
issyk	WUS	37	rural_settlement	sogdiana_region	0	-3.000	20.928	yes	1
monok	AOR	42	rural_settlement	central_asian_steppes_region	0	-3.000	18.343	yes	1
shavgar	MGT	36	rural_settlement	sogdiana_region	0	-3.000	18.080	yes	1
saioi	SA3	47	rural_settlement	central_asian_steppes_region	0	-3.000	17.093	yes	1
