metric	baseline	iu_generated
urban_city_share	0.2574	0.2866
rank_city_count	261	180
rank_town_count	753	448
rank_rural_count	7	5
cap_scale_global	1.0000	0.5046
cap_scale_fort	1.0000	0.0000
cap_castle	110	0
total_castle	110	37
cap_dock	4	2
total_dock	4	0
cap_granary	1746	546
total_granary	1746	494
cap_market_village	12	4
total_market_village	12	4
cap_marketplace	1305	593
total_marketplace	1305	585
cap_mason	1690	469
total_mason	1690	460
cap_slave_market	249	79
total_slave_market	249	77
cap_stockade	559	0
total_stockade	559	16
cap_temple	1011	480
total_temple	1011	472
cap_university	0	0
total_university	0	0
avg_city_castle	0.9387	0.0000
avg_city_dock	0.0038	0.0000
avg_city_granary	2.8889	1.2167
avg_city_market_village	0.0000	0.0000
avg_city_marketplace	1.9808	1.0500
avg_city_mason	2.4981	1.0611
avg_city_slave_market	0.6207	0.2556
avg_city_stockade	0.0153	0.0000
avg_city_temple	1.0000	1.0000
avg_city_university	0.0000	0.0000
avg_town_castle	0.3479	0.0000
avg_town_dock	0.0040	0.0000
avg_town_granary	1.3174	0.6071
avg_town_market_village	0.0000	0.0000
avg_town_marketplace	1.0465	0.8839
avg_town_mason	1.3732	0.6004
avg_town_slave_market	0.1155	0.0692
avg_town_stockade	0.0425	0.0000
avg_town_temple	0.9960	0.6518
avg_town_university	0.0000	0.0000
avg_rural_settlement_castle	0.0000	0.0000
avg_rural_settlement_dock	0.0000	0.0000
avg_rural_settlement_granary	0.0000	0.6000
avg_rural_settlement_market_village	1.7143	0.8000
avg_rural_settlement_marketplace	0.0000	0.0000
avg_rural_settlement_mason	0.5714	0.0000
avg_rural_settlement_slave_market	0.0000	0.0000
avg_rural_settlement_stockade	0.0000	0.0000
avg_rural_settlement_temple	0.0000	0.0000
avg_rural_settlement_university	0.0000	0.0000
