location	development_rank	ir_province_rank	total_pop	weighted_pop	civilization_value	road_degree	building_levels	is_port	raw_score	mapped_target
aba	rural_settlement	settlement	6.000	8.800	21.000	0	0.000	0	13.338	-3.000
abach	rural_settlement	settlement	4.000	4.200	0.000	0	0.000	0	8.573	-3.000
abad_sauvira	rural_settlement	settlement	13.000	13.400	26.000	0	0.000	0	15.690	-3.000
abadla	rural_settlement	settlement	3.000	2.400	3.000	0	0.000	0	6.574	-8.000
abal	rural_settlement	settlement	2.000	1.600	8.000	0	0.000	0	5.529	-8.000
abale	rural_settlement	settlement	6.000	8.600	20.000	0	0.000	0	13.161	-3.000
aballo	rural_settlement	settlement	4.000	4.200	9.000	0	0.000	0	9.203	-3.000
abara	rural_settlement	settlement	4.000	6.000	27.000	2	0.000	0	13.217	-3.000
abarbina	rural_settlement	settlement	7.000	10.200	5.000	0	0.000	0	12.913	-3.000
abasenia	town	city	15.000	24.800	23.000	0	0.000	0	20.012	3.000
abasgria	rural_settlement	settlement	4.000	6.000	3.000	0	0.000	0	10.329	-3.000
abay	rural_settlement	settlement	2.000	1.600	6.000	0	0.000	0	5.389	-8.000
abbasion	rural_settlement	settlement	8.000	11.400	24.000	2	0.000	0	15.980	-3.000
abdarat	rural_settlement	settlement	4.000	4.200	24.000	0	1.000	1	12.001	-3.000
abdera	town	city	21.000	29.800	31.000	0	1.000	1	23.241	8.000
abellinum	rural_settlement	settlement	8.000	12.000	24.000	0	0.000	0	15.018	-3.000
aberta	rural_settlement	settlement	4.000	4.000	33.000	2	0.000	0	11.888	-3.000
abha	rural_settlement	settlement	3.000	5.200	8.000	0	0.000	0	10.048	-3.000
abhras	rural_settlement	settlement	2.000	1.600	5.000	0	0.000	0	5.319	-8.000
abid	rural_settlement	settlement	2.000	1.800	28.000	0	0.000	0	7.314	-8.000
abila	rural_settlement	settlement	3.000	5.200	24.000	2	0.000	0	12.376	-3.000
abila_dekapoleos	rural_settlement	settlement	2.000	4.200	26.000	0	0.000	0	10.393	-3.000
abila_syrias	rural_settlement	settlement	3.000	6.600	24.000	2	0.000	0	13.435	-3.000
abilunum	rural_settlement	settlement	4.000	3.400	3.000	0	0.000	0	7.914	-3.000
abis	rural_settlement	settlement	5.000	7.400	28.000	2	0.000	0	14.235	-3.000
abisama	rural_settlement	settlement	6.000	8.400	10.000	0	1.000	1	14.099	-3.000
abivard	rural_settlement	settlement	4.000	5.800	19.000	0	0.000	0	11.298	-3.000
ablastha	rural_settlement	settlement	8.000	9.400	18.000	2	0.000	0	14.646	-3.000
abliata	town	city	12.000	15.000	16.000	0	0.000	0	17.037	-1.000
abodiacum	rural_settlement	settlement	5.000	6.600	11.000	0	0.000	0	11.316	-3.000
