location	development_rank	region	region_modifier	target_value	metric_score	mapped_value	final_override
pataliputra	city	pracya_region	25	18.000	37.366	10.000	10
alexandria	city	lower_egypt_region	27	15.000	33.088	10.000	10
carthago	city	africa_region	23	14.000	31.413	10.000	10
pella_0	city	macedonia_region	25	14.000	31.241	10.000	10
babylon_1	city	mesopotamia_region	20	18.000	30.342	10.000	10
lysimacheia	city	thrace_region	20	14.000	30.240	10.000	10
seleucia_magna	city	mesopotamia_region	20	13.000	29.199	8.000	8
gerrha	town	arabia_region	5	11.000	28.131	8.000	8
antigoneia	city	syria_region	23	9.000	27.216	7.000	7
bactra	city	bactriana_region	15	9.000	27.014	7.000	7
kyrene	town	cyrenaica_region	15	10.000	26.615	7.000	7
athens	city	greece_region	30	12.000	26.599	7.000	7
mahismati	city	aparanta_region	28	11.000	26.328	7.000	7
madurai	town	dravida_region	25	11.000	26.257	7.000	7
alexandria_susiana	city	mesopotamia_region	20	14.000	26.208	5.000	5
omana	town	arabia_region	5	9.000	26.173	5.000	5
mayurasattapattinam	town	dravida_region	25	11.000	26.152	5.000	5
deogarh_0	city	maru_region	25	14.000	26.001	5.000	5
curubis	city	africa_region	23	14.000	25.987	5.000	5
varanasi	city	madhyadesa_region	30	14.000	25.858	5.000	5
ujjayini	city	avanti_region	25	14.000	25.698	5.000	5
messene	city	greece_region	30	12.000	25.693	5.000	5
alexandreia_eschate	city	sogdiana_region	0	7.000	25.669	5.000	5
kalinganagara	town	vindhyaprstha_region	25	9.000	25.517	5.000	5
koti	town	dravida_region	25	11.000	25.432	5.000	5
amphipolis	city	macedonia_region	25	13.000	25.404	5.000	5
thessalonica	city	macedonia_region	25	13.000	25.345	5.000	5
sthanishvara	city	madhyadesa_region	30	14.000	25.336	5.000	5
sebennytos	city	lower_egypt_region	27	13.000	25.276	5.000	5
massalia	town	transalpine_gaul_region	15	10.000	25.233	5.000	5
alwa	town	nubia_region	5	8.000	25.233	5.000	5
urayur	town	dravida_region	25	10.000	25.050	5.000	5
mariaba	town	arabia_felix_region	12	8.000	25.001	5.000	5
kanyakubja	city	madhyadesa_region	30	13.000	24.982	5.000	5
rohtak	city	madhyadesa_region	30	8.000	24.973	5.000	5
karna	town	arabia_felix_region	12	8.000	24.897	5.000	5
hermopolis_mikra	city	lower_egypt_region	27	12.000	24.882	5.000	5
kajangala	town	pracya_region	25	11.000	24.804	5.000	5
karmana	city	ariana_region	13	6.000	24.794	5.000	5
andhapura	town	vindhyaprstha_region	25	9.000	24.775	5.000	5
sais	city	lower_egypt_region	27	12.000	24.770	4.000	4
vanci	town	karnata_region	25	9.000	24.750	4.000	4
roma	city	central_italy_region	30	8.000	24.682	4.000	4
saringiy	city	parthia_region	20	12.000	24.631	4.000	4
persepolis	city	persis_region	20	6.000	24.607	3.000	3
acragas	city	magna_graecia_region	28	11.000	24.518	3.000	3
ayodhya	city	madhyadesa_region	30	12.000	24.437	3.000	3
meschistha_harmozike	town	colchis_region	12	6.000	24.380	3.000	3
kot_kamalia	city	gandhara_region	25	12.000	24.220	3.000	3
tyrus	city	syria_region	23	9.000	24.205	3.000	3
syene	town	lower_nubia_region	0	6.000	24.129	3.000	3
mosylon	town	punt_region	10	9.000	24.065	3.000	3
garama	town	fezzan_region	0	5.000	24.043	3.000	3
naukratis	city	lower_egypt_region	27	12.000	24.036	2.000	2
sindhumana	city	maru_region	25	11.000	24.000	2.000	2
acholla	city	africa_region	23	8.000	23.965	2.000	2
sparta	city	greece_region	30	8.000	23.934	2.000	2
cirta	town	numidia_region	12	5.000	23.930	2.000	2
tylos	city	arabia_region	5	6.000	23.832	2.000	2
dhar	city	avanti_region	25	10.000	23.831	2.000	2
kuche	town	himalayan_region	5	8.000	23.800	2.000	2
sabata	town	arabia_felix_region	12	6.000	23.737	2.000	2
passaron	town	greece_region	30	9.000	23.718	2.000	2
mathura	city	avanti_region	25	10.000	23.708	2.000	2
chersonesos	town	taurica_region	5	8.000	23.696	2.000	2
opone	town	punt_region	10	9.000	23.640	2.000	2
plestia	town	central_italy_region	30	9.000	23.603	2.000	2
kolkoi	town	dravida_region	25	11.000	23.573	2.000	2
anatachara	city	gandhara_region	25	10.000	23.568	1.000	1
alexandria_ad_caucasum	city	bactriana_region	15	4.000	23.512	1.000	1
lhasa	town	tibet_region	5	5.000	23.507	1.000	1
taxila	city	gandhara_region	25	9.000	23.490	1.000	1
callatis	town	moesia_region	13	8.000	23.457	1.000	1
gortyna	town	greece_region	30	10.000	23.442	1.000	1
mulasthanapura	city	maru_region	25	9.000	23.368	1.000	1
kashgar	town	himalayan_region	5	6.000	23.362	1.000	1
tarentum	city	magna_graecia_region	28	8.000	23.334	1.000	1
thurii	town	magna_graecia_region	28	9.000	23.320	1.000	1
karnasuvarna	town	pracya_region	25	10.000	23.319	1.000	1
borsippa	city	mesopotamia_region	20	9.000	23.312	1.000	1
