source	target	relation	source_group	target_group	reason
ir_agama	ir_ajivika	kindred	ir_dharmic_group	ir_dharmic_group	same_group_kindred
ir_agama	ir_buddhism	positive	ir_dharmic_group	ir_buddhist_group	group_positive
ir_agama	ir_hindu	kindred	ir_dharmic_group	ir_dharmic_group	same_group_kindred
ir_agama	ir_jainism	kindred	ir_dharmic_group	ir_dharmic_group	same_group_kindred
ir_ajivika	ir_agama	kindred	ir_dharmic_group	ir_dharmic_group	same_group_kindred
ir_ajivika	ir_buddhism	positive	ir_dharmic_group	ir_buddhist_group	group_positive
ir_ajivika	ir_hindu	kindred	ir_dharmic_group	ir_dharmic_group	same_group_kindred
ir_ajivika	ir_jainism	kindred	ir_dharmic_group	ir_dharmic_group	same_group_kindred
ir_anahitic_religion	ir_hurrian_pantheon	positive	ir_zoroastrian_group	ir_mesopotamian_group	group_positive
ir_anahitic_religion	ir_indo_iranian_religion	positive	ir_zoroastrian_group	ir_indo_iranian_group	group_positive
ir_anahitic_religion	ir_mithra_religion	kindred	ir_zoroastrian_group	ir_zoroastrian_group	same_group_kindred
ir_anahitic_religion	ir_vaksh_religion	kindred	ir_zoroastrian_group	ir_zoroastrian_group	same_group_kindred
ir_anahitic_religion	ir_zoroaster	kindred	ir_zoroastrian_group	ir_zoroastrian_group	same_group_kindred
ir_anatolian_religion	ir_caucasian_religion	positive	ir_anatolian_group	ir_caucasian_group	group_positive
ir_anatolian_religion	ir_hatti_religion	kindred	ir_anatolian_group	ir_anatolian_group	same_group_kindred
ir_anatolian_religion	ir_hurrian_pantheon	positive	ir_anatolian_group	ir_mesopotamian_group	group_positive
ir_anatolian_religion	ir_illyrian_pantheon	positive	ir_anatolian_group	ir_hellenic_group	group_positive
ir_animism	ir_druidism	positive	ir_iberic_group	ir_celtic_group	group_positive
ir_animism	ir_germanic_religion	positive	ir_iberic_group	ir_germanic_group	group_positive
ir_animism	ir_nuragic_pantheon	kindred	ir_iberic_group	ir_iberic_group	same_group_kindred
ir_animism	ir_pre_indo_european_religion	kindred	ir_iberic_group	ir_iberic_group	same_group_kindred
ir_animism	ir_shamanism	positive	ir_iberic_group	ir_shamanic_group	group_positive
ir_armenian_religion	ir_caucasian_religion	positive	ir_armenian_group	ir_caucasian_group	group_positive
ir_berber_religion	ir_egyptian_pantheon	positive	ir_berber_group	ir_egyptian_group	group_positive
ir_bon_religion	ir_burmese_religion	kindred	ir_eastern_animist_group	ir_eastern_animist_group	same_group_kindred
ir_bon_religion	ir_chinese_religions	kindred	ir_eastern_animist_group	ir_eastern_animist_group	same_group_kindred
ir_bon_religion	ir_eastern_animism	kindred	ir_eastern_animist_group	ir_eastern_animist_group	same_group_kindred
ir_bon_religion	ir_matrist_religion	kindred	ir_eastern_animist_group	ir_eastern_animist_group	same_group_kindred
ir_bon_religion	ir_shamanism	positive	ir_eastern_animist_group	ir_shamanic_group	group_positive
ir_buddhism	ir_agama	positive	ir_buddhist_group	ir_dharmic_group	group_positive
ir_buddhism	ir_hindu	positive	ir_buddhist_group	ir_dharmic_group	pair_override
ir_burmese_religion	ir_bon_religion	kindred	ir_eastern_animist_group	ir_eastern_animist_group	same_group_kindred
ir_burmese_religion	ir_chinese_religions	kindred	ir_eastern_animist_group	ir_eastern_animist_group	same_group_kindred
ir_burmese_religion	ir_eastern_animism	kindred	ir_eastern_animist_group	ir_eastern_animist_group	same_group_kindred
ir_burmese_religion	ir_matrist_religion	kindred	ir_eastern_animist_group	ir_eastern_animist_group	same_group_kindred
ir_burmese_religion	ir_uralic_pantheon	positive	ir_eastern_animist_group	ir_shamanic_group	group_positive
ir_carthaginian_pantheon	ir_egyptian_pantheon	positive	ir_canaanite_group	ir_egyptian_group	group_positive
ir_carthaginian_pantheon	ir_illyrian_pantheon	positive	ir_canaanite_group	ir_hellenic_group	group_positive
ir_carthaginian_pantheon	ir_judaism	negative	ir_canaanite_group	ir_israelite_group	pair_override
ir_carthaginian_pantheon	ir_roman_pantheon	positive	ir_canaanite_group	ir_hellenic_group	pair_override
ir_caucasian_religion	ir_anatolian_religion	positive	ir_caucasian_group	ir_anatolian_group	group_positive
ir_caucasian_religion	ir_armenian_religion	positive	ir_caucasian_group	ir_armenian_group	group_positive
ir_caucasian_religion	ir_circassian_pantheon	kindred	ir_caucasian_group	ir_caucasian_group	same_group_kindred
ir_caucasian_religion	ir_zoroaster	positive	ir_caucasian_group	ir_zoroastrian_group	pair_override
ir_chinese_religions	ir_bon_religion	kindred	ir_eastern_animist_group	ir_eastern_animist_group	same_group_kindred
ir_chinese_religions	ir_burmese_religion	kindred	ir_eastern_animist_group	ir_eastern_animist_group	same_group_kindred
ir_chinese_religions	ir_eastern_animism	kindred	ir_eastern_animist_group	ir_eastern_animist_group	same_group_kindred
ir_chinese_religions	ir_matrist_religion	kindred	ir_eastern_animist_group	ir_eastern_animist_group	same_group_kindred
ir_chinese_religions	ir_shamanism	positive	ir_eastern_animist_group	ir_shamanic_group	group_positive
ir_circassian_pantheon	ir_armenian_religion	positive	ir_caucasian_group	ir_armenian_group	group_positive
ir_circassian_pantheon	ir_caucasian_religion	kindred	ir_caucasian_group	ir_caucasian_group	same_group_kindred
ir_circassian_pantheon	ir_hatti_religion	positive	ir_caucasian_group	ir_anatolian_group	group_positive
ir_druidism	ir_animism	positive	ir_celtic_group	ir_iberic_group	group_positive
ir_eastern_animism	ir_bon_religion	kindred	ir_eastern_animist_group	ir_eastern_animist_group	same_group_kindred
ir_eastern_animism	ir_burmese_religion	kindred	ir_eastern_animist_group	ir_eastern_animist_group	same_group_kindred
ir_eastern_animism	ir_chinese_religions	kindred	ir_eastern_animist_group	ir_eastern_animist_group	same_group_kindred
ir_eastern_animism	ir_matrist_religion	kindred	ir_eastern_animist_group	ir_eastern_animist_group	same_group_kindred
ir_eastern_animism	ir_uralic_pantheon	positive	ir_eastern_animist_group	ir_shamanic_group	group_positive
ir_egyptian_pantheon	ir_berber_religion	positive	ir_egyptian_group	ir_berber_group	group_positive
ir_egyptian_pantheon	ir_carthaginian_pantheon	positive	ir_egyptian_group	ir_canaanite_group	group_positive
ir_egyptian_pantheon	ir_nilotic_pantheon	kindred	ir_egyptian_group	ir_egyptian_group	same_group_kindred
ir_egyptian_pantheon	ir_puntic_religion	kindred	ir_egyptian_group	ir_egyptian_group	same_group_kindred
ir_egyptian_pantheon	ir_roman_pantheon	positive	ir_egyptian_group	ir_hellenic_group	pair_override
ir_germanic_religion	ir_animism	positive	ir_germanic_group	ir_iberic_group	group_positive
ir_hatti_religion	ir_anatolian_religion	kindred	ir_anatolian_group	ir_anatolian_group	same_group_kindred
ir_hatti_religion	ir_circassian_pantheon	positive	ir_anatolian_group	ir_caucasian_group	group_positive
ir_hatti_religion	ir_italic_pantheon	positive	ir_anatolian_group	ir_hellenic_group	group_positive
ir_hatti_religion	ir_mesopotamian_religion	positive	ir_anatolian_group	ir_mesopotamian_group	group_positive
ir_hindu	ir_agama	kindred	ir_dharmic_group	ir_dharmic_group	same_group_kindred
ir_hindu	ir_ajivika	kindred	ir_dharmic_group	ir_dharmic_group	same_group_kindred
ir_hindu	ir_buddhism	positive	ir_dharmic_group	ir_buddhist_group	pair_override
ir_hindu	ir_jainism	kindred	ir_dharmic_group	ir_dharmic_group	same_group_kindred
ir_hurrian_pantheon	ir_anahitic_religion	positive	ir_mesopotamian_group	ir_zoroastrian_group	group_positive
ir_hurrian_pantheon	ir_anatolian_religion	positive	ir_mesopotamian_group	ir_anatolian_group	group_positive
ir_hurrian_pantheon	ir_mesopotamian_religion	kindred	ir_mesopotamian_group	ir_mesopotamian_group	same_group_kindred
ir_illyrian_pantheon	ir_anatolian_religion	positive	ir_hellenic_group	ir_anatolian_group	group_positive
ir_illyrian_pantheon	ir_carthaginian_pantheon	positive	ir_hellenic_group	ir_canaanite_group	group_positive
ir_illyrian_pantheon	ir_italic_pantheon	kindred	ir_hellenic_group	ir_hellenic_group	same_group_kindred
